Open time,Open,High,Low,Close,POC
2018-07-27,0.1642,0.1693,0.1551,0.1659,0.161
2018-07-28,0.16586,0.16662,0.15915,0.1641,0.1642
2018-07-29,0.16387,0.1656,0.15954,0.16268,0.1627
2018-07-30,0.16268,0.163,0.14716,0.15327,0.1586
2018-07-31,0.15323,0.15349,0.139,0.14175,0.14
2018-08-01,0.14152,0.14474,0.135,0.13984,0.136
2018-08-02,0.13976,0.14149,0.1285,0.13039,0.1298
2018-08-03,0.13076,0.13473,0.1229,0.12947,0.1255
2018-08-04,0.12936,0.13358,0.12353,0.12639,0.125
2018-08-05,0.12639,0.1313,0.1244,0.13024,0.1288
2018-08-06,0.1305,0.13618,0.12644,0.12937,0.129
2018-08-07,0.12937,0.13227,0.12252,0.12365,0.1285
2018-08-08,0.1238,0.12387,0.10855,0.11292,0.1165
2018-08-09,0.11281,0.12631,0.11272,0.12213,0.121
2018-08-10,0.12213,0.1238,0.11132,0.11485,0.118
2018-08-11,0.11463,0.11633,0.10713,0.11022,0.1098
2018-08-12,0.11022,0.1145,0.10859,0.11153,0.1127
2018-08-13,0.11153,0.11415,0.101,0.10104,0.1118
2018-08-14,0.10104,0.10113,0.084,0.0935,0.0897
2018-08-15,0.0935,0.10131,0.09339,0.09361,0.0989
2018-08-16,0.09362,0.0982,0.09138,0.0946,0.0921
2018-08-17,0.0946,0.11,0.0937,0.11,0.1025
2018-08-18,0.11,0.11247,0.09514,0.09831,0.1051
2018-08-19,0.09832,0.10356,0.09633,0.10143,0.0997
2018-08-20,0.10143,0.10299,0.09159,0.09174,0.0977
2018-08-21,0.09174,0.09541,0.09001,0.09469,0.092
2018-08-22,0.09469,0.10082,0.08682,0.08955,0.0949
2018-08-23,0.08955,0.0942,0.08835,0.09232,0.092
2018-08-24,0.09222,0.0945,0.0903,0.09381,0.0924
2018-08-25,0.09381,0.09496,0.09177,0.09413,0.094
2018-08-26,0.09413,0.09467,0.0905,0.09306,0.0924
2018-08-27,0.09306,0.10157,0.09206,0.10051,0.0965
2018-08-28,0.10051,0.10749,0.0996,0.10555,0.1015
2018-08-29,0.10555,0.10919,0.10121,0.10535,0.104
2018-08-30,0.10535,0.10753,0.09661,0.10066,0.1061
2018-08-31,0.10066,0.10343,0.09851,0.1017,0.1
2018-09-01,0.1017,0.11032,0.10131,0.10699,0.108
2018-09-02,0.10699,0.10771,0.102,0.10499,0.1056
2018-09-03,0.10499,0.1055,0.10215,0.10352,0.105
2018-09-04,0.10352,0.10709,0.10334,0.10521,0.1061
2018-09-05,0.10522,0.10621,0.08561,0.08637,0.106
2018-09-06,0.08637,0.08877,0.08085,0.0884,0.084
2018-09-07,0.0884,0.08946,0.0813,0.08287,0.0815
2018-09-08,0.08285,0.0844,0.07654,0.07749,0.0783
2018-09-09,0.07736,0.08097,0.07353,0.07601,0.0783
2018-09-10,0.07592,0.07867,0.0666,0.07343,0.0726
2018-09-11,0.07346,0.07475,0.06574,0.0701,0.0699
2018-09-12,0.0701,0.07036,0.06089,0.06627,0.063
2018-09-13,0.06627,0.07181,0.06497,0.06951,0.0671
2018-09-14,0.06951,0.07077,0.06541,0.06749,0.069
2018-09-15,0.06739,0.07068,0.06732,0.06895,0.0692
2018-09-16,0.06895,0.07,0.06568,0.06988,0.0673
2018-09-17,0.06988,0.07023,0.06256,0.06347,0.0655
2018-09-18,0.06347,0.07012,0.06193,0.069,0.0672
2018-09-19,0.069,0.07441,0.06622,0.07218,0.0722
2018-09-20,0.07232,0.08389,0.07111,0.08089,0.0746
2018-09-21,0.08079,0.09035,0.08065,0.08773,0.0844
2018-09-22,0.08767,0.08913,0.0792,0.08338,0.0828
2018-09-23,0.08338,0.0939,0.08281,0.08986,0.09
2018-09-24,0.08976,0.09197,0.08146,0.08241,0.085
2018-09-25,0.08241,0.08246,0.07425,0.08108,0.075
2018-09-26,0.08108,0.08311,0.07648,0.07913,0.0798
2018-09-27,0.07913,0.0889,0.07777,0.08629,0.0845
2018-09-28,0.0863,0.0885,0.081,0.0839,0.0843
2018-09-29,0.08391,0.0868,0.08106,0.08446,0.085
2018-09-30,0.08437,0.0874,0.0825,0.08511,0.0833
2018-10-01,0.08514,0.087,0.08203,0.08467,0.0855
2018-10-02,0.08451,0.0851,0.08151,0.08224,0.0843
2018-10-03,0.08221,0.08248,0.0782,0.08088,0.0808
2018-10-04,0.08089,0.08319,0.08044,0.08164,0.0823
2018-10-05,0.08164,0.0845,0.08029,0.08339,0.0822
2018-10-06,0.08339,0.08411,0.0808,0.08151,0.0813
2018-10-07,0.08156,0.08558,0.08033,0.08464,0.0835
2018-10-08,0.08464,0.0889,0.08348,0.08698,0.0883
2018-10-09,0.08698,0.08808,0.0848,0.08659,0.0866
2018-10-10,0.08659,0.0869,0.08359,0.08542,0.084
2018-10-11,0.08547,0.08547,0.0692,0.07079,0.076
2018-10-12,0.07082,0.0766,0.0695,0.0732,0.0751
2018-10-13,0.07313,0.07545,0.07258,0.07374,0.0741
2018-10-14,0.07374,0.07459,0.07098,0.0717,0.074
2018-10-15,0.0717,0.08497,0.07,0.07671,0.079
2018-10-16,0.0767,0.07884,0.07565,0.07777,0.0774
2018-10-17,0.07777,0.08132,0.07701,0.07994,0.0773
2018-10-18,0.07994,0.08069,0.075,0.07668,0.079
2018-10-19,0.07668,0.0779,0.07577,0.07683,0.077
2018-10-20,0.07683,0.07876,0.0761,0.07768,0.0779
2018-10-21,0.07768,0.07908,0.07691,0.07721,0.0785
2018-10-22,0.07722,0.07785,0.0761,0.07731,0.0775
2018-10-23,0.0773,0.07757,0.0735,0.07597,0.075
2018-10-24,0.07597,0.07708,0.0753,0.07539,0.0762
2018-10-25,0.07539,0.07564,0.0737,0.07478,0.0744
2018-10-26,0.07478,0.0754,0.07348,0.07471,0.0745
2018-10-27,0.07471,0.07487,0.07329,0.07352,0.074
2018-10-28,0.07352,0.07392,0.07255,0.07364,0.0728
2018-10-29,0.07357,0.07379,0.069,0.07019,0.07
2018-10-30,0.07019,0.07077,0.06963,0.07007,0.07
2018-10-31,0.07007,0.07199,0.06773,0.07061,0.0685
2018-11-01,0.07061,0.07198,0.06966,0.07127,0.0712
2018-11-02,0.07127,0.0738,0.0706,0.07311,0.072
2018-11-03,0.07311,0.07331,0.0708,0.07177,0.0718
2018-11-04,0.07177,0.07857,0.0712,0.0773,0.077
2018-11-05,0.07735,0.07946,0.07499,0.07685,0.0768
2018-11-06,0.07685,0.08198,0.07678,0.08168,0.0788
2018-11-07,0.08168,0.0826,0.07812,0.079,0.0793
2018-11-08,0.079,0.08,0.07647,0.07684,0.0783
2018-11-09,0.07684,0.0782,0.07401,0.07463,0.0753
2018-11-10,0.07463,0.07657,0.07419,0.07548,0.076
2018-11-11,0.07548,0.07798,0.0746,0.077,0.0765
2018-11-12,0.07698,0.078,0.07552,0.07687,0.0771
2018-11-13,0.07687,0.07715,0.0744,0.07465,0.0752
2018-11-14,0.0746,0.0747,0.06241,0.06657,0.065
2018-11-15,0.0665,0.0669,0.05811,0.06435,0.0601
2018-11-16,0.06435,0.06499,0.0603,0.06145,0.0643
2018-11-17,0.06145,0.06157,0.0596,0.06123,0.0608
2018-11-18,0.06123,0.06354,0.06115,0.06234,0.0617
2018-11-19,0.06234,0.06246,0.05112,0.0527,0.0525
2018-11-20,0.0527,0.05334,0.0427,0.04587,0.0464
2018-11-21,0.04582,0.04971,0.04332,0.04839,0.047
2018-11-22,0.04844,0.04914,0.04366,0.04407,0.0479
2018-11-23,0.04407,0.0451,0.0416,0.0438,0.043
2018-11-24,0.0438,0.0454,0.03699,0.039,0.04
2018-11-25,0.039,0.03965,0.03315,0.03832,0.0362
2018-11-26,0.03832,0.04017,0.03453,0.03652,0.0385
2018-11-27,0.03652,0.03778,0.03401,0.03693,0.0356
2018-11-28,0.03693,0.0442,0.03691,0.04222,0.039
2018-11-29,0.04213,0.04487,0.03957,0.04194,0.0416
2018-11-30,0.04198,0.0425,0.03765,0.03907,0.0413
2018-12-01,0.03907,0.0424,0.03804,0.04138,0.0413
2018-12-02,0.04133,0.0434,0.04057,0.04187,0.0413
2018-12-03,0.04184,0.04214,0.03785,0.03848,0.0404
2018-12-04,0.03848,0.04019,0.037,0.03752,0.0375
2018-12-05,0.03752,0.03768,0.03371,0.03442,0.0365
2018-12-06,0.03432,0.0359,0.0305,0.03072,0.0342
2018-12-07,0.0307,0.031,0.02708,0.02975,0.03
2018-12-08,0.02975,0.03246,0.02825,0.0302,0.0307
2018-12-09,0.0302,0.03242,0.02956,0.0311,0.0318
2018-12-10,0.0311,0.03199,0.02914,0.02977,0.0313
2018-12-11,0.02977,0.03013,0.0285,0.02931,0.029
2018-12-12,0.02931,0.03088,0.02892,0.03029,0.0305
2018-12-13,0.03029,0.03067,0.02872,0.02912,0.03
2018-12-14,0.02912,0.0296,0.02764,0.02832,0.0283
2018-12-15,0.02832,0.0286,0.02761,0.02807,0.0284
2018-12-16,0.02807,0.02986,0.02806,0.029,0.029
2018-12-17,0.029,0.03371,0.0289,0.03241,0.0322
2018-12-18,0.03241,0.03463,0.03128,0.0343,0.0323
