Open time,Open,High,Low,Close,POC
2018-07-27,13.3283,14.0845,13.0383,13.9919,13.8997
2018-07-28,13.9919,14.8886,13.72,14.669,14.605
2018-07-29,14.6292,14.7512,13.666,13.9569,13.75
2018-07-30,13.9653,13.9724,13.0,13.1666,13.5706
2018-07-31,13.1666,14.1,13.001,13.8369,13.6147
2018-08-01,13.7995,14.1,13.1725,13.6666,13.5
2018-08-02,13.6481,14.1999,13.364,14.15,13.4586
2018-08-03,14.1303,14.18,13.55,14.1251,13.9501
2018-08-04,14.1399,14.47,13.55,13.8663,14.1717
2018-08-05,13.8663,13.9499,13.2224,13.64,13.4302
2018-08-06,13.6407,13.975,13.4688,13.6998,13.7372
2018-08-07,13.6998,13.85,13.0735,13.1488,13.5603
2018-08-08,13.1688,13.1688,11.95,12.1489,12.0002
2018-08-09,12.1489,12.8769,12.0408,12.7654,12.0832
2018-08-10,12.756,12.8249,11.6912,12.1472,12.3302
2018-08-11,12.12,12.1605,11.3,11.6972,11.6657
2018-08-12,11.6736,11.8735,11.3503,11.7999,11.6916
2018-08-13,11.7827,11.8899,10.11,10.2576,11.6996
2018-08-14,10.27,10.3164,8.5318,9.3999,9.0957
2018-08-15,9.3999,10.65,9.3328,9.5049,10.0503
2018-08-16,9.5,10.0,9.3549,9.7888,9.65
2018-08-17,9.7888,10.88,9.7008,10.88,10.3803
2018-08-18,10.8766,10.98,9.4518,9.8807,10.343
2018-08-19,9.9205,10.2999,9.6501,10.1388,9.9094
2018-08-20,10.1304,10.2081,9.5505,9.6377,9.8
2018-08-21,9.6377,9.8499,9.3526,9.7399,9.5223
2018-08-22,9.7399,10.25,9.1803,9.5888,10.0001
2018-08-23,9.5888,9.7881,9.3201,9.7587,9.4987
2018-08-24,9.7587,10.2313,9.55,10.2038,10.1652
2018-08-25,10.198,10.3,9.9115,10.1058,10.0422
2018-08-26,10.1058,10.2578,9.7298,10.2158,10.0756
2018-08-27,10.2082,11.3135,10.1023,11.1888,10.5101
2018-08-28,11.1888,11.5489,10.76,11.5188,11.1893
2018-08-29,11.5188,11.5188,10.7,11.1888,11.1159
2018-08-30,11.1888,11.1999,10.3501,10.7899,10.4276
2018-08-31,10.77,10.9935,10.5548,10.9899,10.9201
2018-09-01,10.9899,11.57,10.9436,11.48,11.3999
2018-09-02,11.48,11.5043,11.07,11.3684,11.1999
2018-09-03,11.3613,11.48,11.046,11.3294,11.2998
2018-09-04,11.3115,11.4494,11.2106,11.4217,11.3709
2018-09-05,11.442,11.5886,9.9,9.9664,10.7993
2018-09-06,9.9664,10.382,9.5349,10.2888,9.6502
2018-09-07,10.2888,10.2994,9.63,9.9401,10.0003
2018-09-08,9.9576,10.1497,9.2715,9.5224,10.0001
2018-09-09,9.5224,9.7678,9.1535,9.5399,9.2656
2018-09-10,9.5247,9.7381,9.25,9.508,9.33
2018-09-11,9.5078,9.6,9.1013,9.3688,9.2298
2018-09-12,9.3796,9.4822,9.01,9.2081,9.1501
2018-09-13,9.2142,9.7146,9.1994,9.5911,9.5544
2018-09-14,9.5911,10.0997,9.4809,9.9268,9.7998
2018-09-15,9.8923,10.242,9.84,10.0999,10.0999
2018-09-16,10.0618,10.1381,9.7,9.9399,9.9378
2018-09-17,9.9281,10.0321,9.2542,9.3626,9.9399
2018-09-18,9.3623,9.6533,9.22,9.5599,9.5202
2018-09-19,9.5599,9.7997,9.231,9.6399,9.6499
2018-09-20,9.6399,10.08,9.5682,10.0388,9.7101
2018-09-21,10.0388,10.48,9.9091,10.48,10.2799
2018-09-22,10.4798,10.6,9.985,10.2911,10.25
2018-09-23,10.2534,10.4258,10.1025,10.2907,10.3499
2018-09-24,10.2907,10.3599,9.9082,10.0588,9.9999
2018-09-25,10.0295,10.0583,9.3612,9.8745,9.5278
2018-09-26,9.8745,9.9417,9.5514,9.712,9.7501
2018-09-27,9.712,10.1118,9.6364,10.0599,10.0496
2018-09-28,10.0599,10.28,9.8049,9.9911,10.1235
2018-09-29,9.9911,10.0773,9.72,10.0118,9.9833
2018-09-30,10.0,10.0761,9.8203,10.0172,10.0
2018-10-01,10.0296,10.0761,9.85,9.9811,9.95
2018-10-02,9.9811,10.69,9.85,10.3711,9.9934
2018-10-03,10.3711,10.49,10.0103,10.3136,10.3774
2018-10-04,10.2851,10.4393,10.201,10.2982,10.2999
2018-10-05,10.2982,10.77,10.227,10.6756,10.6753
2018-10-06,10.6997,10.75,10.3232,10.4289,10.6209
2018-10-07,10.4289,10.6,10.2602,10.5852,10.4399
2018-10-08,10.5852,10.6929,10.4938,10.5911,10.6298
2018-10-09,10.5909,10.6297,10.27,10.4113,10.4063
2018-10-10,10.4113,10.4351,10.22,10.3614,10.41
2018-10-11,10.3877,10.3991,9.22,9.3599,9.5796
2018-10-12,9.3618,9.7497,9.2471,9.5551,9.6075
2018-10-13,9.5454,9.7299,9.5227,9.681,9.6
2018-10-14,9.681,9.8,9.5101,9.5895,9.7422
2018-10-15,9.5899,11.0,9.5106,10.5655,10.3505
2018-10-16,10.5509,10.571,10.1061,10.2771,10.1901
2018-10-17,10.2761,10.35,10.09,10.2338,10.2307
2018-10-18,10.2338,10.2856,9.81,9.922,9.9207
2018-10-19,9.922,9.9797,9.83,9.9001,9.8999
2018-10-20,9.9311,9.997,9.822,9.9365,9.9387
2018-10-21,9.914,10.0272,9.87,9.9311,9.9587
2018-10-22,9.9311,9.98,9.81,9.8932,9.8806
2018-10-23,9.8781,10.0788,9.8099,9.9298,9.9199
2018-10-24,9.917,9.99,9.8555,9.8837,9.9307
2018-10-25,9.8837,9.925,9.7502,9.8056,9.8249
2018-10-26,9.8056,9.9121,9.75,9.8296,9.8136
2018-10-27,9.8296,9.8347,9.6972,9.7331,9.7156
2018-10-28,9.7331,9.7638,9.6022,9.7207,9.6826
2018-10-29,9.7207,9.7317,9.3748,9.445,9.682
2018-10-30,9.445,9.5386,9.4003,9.4521,9.4532
2018-10-31,9.4521,9.5546,9.2811,9.4807,9.4203
2018-11-01,9.4807,9.66,9.4303,9.6192,9.4787
2018-11-02,9.611,9.7192,9.5467,9.6421,9.6176
2018-11-03,9.6421,9.744,9.4888,9.5889,9.5259
2018-11-04,9.5889,9.8974,9.5,9.819,9.6329
2018-11-05,9.8084,9.8294,9.6603,9.7333,9.695
2018-11-06,9.7511,9.8891,9.6703,9.881,9.8127
2018-11-07,9.881,9.9776,9.81,9.897,9.8818
2018-11-08,9.898,9.9268,9.6503,9.686,9.7475
2018-11-09,9.7068,9.7497,9.5169,9.6141,9.6213
2018-11-10,9.6156,9.6896,9.5672,9.5898,9.6122
2018-11-11,9.6171,9.621,9.35,9.5611,9.4631
2018-11-12,9.5611,9.5891,9.331,9.4862,9.45
2018-11-13,9.4902,9.5891,9.3602,9.3936,9.4519
2018-11-14,9.3936,9.4453,8.3359,8.6811,8.4917
2018-11-15,8.6896,8.7342,7.8,8.3793,8.1838
2018-11-16,8.3892,8.4049,7.8,8.01,8.1039
2018-11-17,8.01,8.0192,7.6846,7.8494,7.791
2018-11-18,7.8519,8.166,7.8301,8.0832,8.0199
2018-11-19,8.0862,8.0918,6.6453,6.6844,7.4506
2018-11-20,6.7099,6.905,5.612,5.92,6.0044
2018-11-21,5.92,6.323,5.6502,6.2894,5.71
2018-11-22,6.3021,6.3727,5.7172,5.77,6.0035
2018-11-23,5.7786,5.8396,5.45,5.6611,5.5101
2018-11-24,5.6611,5.8055,4.7632,5.193,4.9531
2018-11-25,5.1997,5.38,4.532,5.2873,5.2384
2018-11-26,5.2873,5.4,4.7568,5.0631,4.8745
2018-11-27,5.063,5.063,4.7045,4.984,5.0001
2018-11-28,4.9936,5.4603,4.9912,5.3499,5.4
2018-11-29,5.3498,5.6344,5.1243,5.3805,5.37
2018-11-30,5.3805,5.448,4.9534,5.115,5.031
2018-12-01,5.115,5.4006,5.0072,5.2899,5.3001
2018-12-02,5.2899,5.4357,5.205,5.2888,5.3299
2018-12-03,5.2831,5.2956,5.01,5.1266,5.05
2018-12-04,5.1295,6.3649,5.0856,5.902,5.8388
2018-12-05,5.92,6.62,5.7225,6.0727,6.0217
2018-12-06,6.0637,6.109,4.85,4.9023,5.5
2018-12-07,4.8977,4.9997,4.12,4.516,4.5571
2018-12-08,4.516,4.8009,4.3001,4.6361,4.67
2018-12-09,4.6282,5.0003,4.5167,4.7693,4.64
2018-12-10,4.7694,4.9398,4.4698,4.6276,4.65
2018-12-11,4.6276,4.9295,4.5,4.8973,4.6731
2018-12-12,4.8973,5.15,4.739,4.9815,5.0
2018-12-13,4.982,4.9933,4.5563,4.6384,4.8347
2018-12-14,4.6399,4.75,4.43,4.5211,4.5207
2018-12-15,4.5211,4.599,4.4436,4.5531,4.5499
2018-12-16,4.5531,4.7064,4.5089,4.616,4.6499
2018-12-17,4.6193,5.1271,4.601,5.065,4.9999
2018-12-18,5.065,5.5362,4.9,5.5308,5.0998
2018-12-19,5.5365,5.8331,5.2847,5.3633,5.35
2018-12-20,5.3627,5.79,5.2369,5.6766,5.6001
2018-12-21,5.6766,5.7897,5.3166,5.4766,5.6605
2018-12-22,5.4765,5.8802,5.395,5.8398,5.8245
2018-12-23,5.8399,6.1318,5.7589,5.959,5.9999
