Open time,Open,High,Low,Close,POC
2018-07-27,16.66,17.23,16.31,17.0736,16.5202
2018-07-28,17.0736,17.4,16.6028,17.0143,16.9162
2018-07-29,17.0143,17.15,16.683,16.8879,16.8694
2018-07-30,16.8955,17.4,16.6001,17.118,16.9999
2018-07-31,17.118,17.1625,15.8135,16.185,16.6651
2018-08-01,16.185,16.32,14.9442,15.4773,15.9863
2018-08-02,15.4773,15.6,14.5313,14.9281,15.5225
2018-08-03,14.9281,17.65,14.1206,16.5698,14.4887
2018-08-04,16.5698,16.9553,15.83,16.4573,16.5744
2018-08-05,16.4573,17.85,16.21,17.687,16.8798
2018-08-06,17.6869,18.7899,17.1273,18.7005,18.38
2018-08-07,18.7005,20.8016,16.66,17.3,19.9997
2018-08-08,17.3,17.3,14.51,15.1413,15.4001
2018-08-09,15.1413,15.4707,14.2981,15.0176,15.0501
2018-08-10,15.0176,15.33,14.03,14.2569,14.9996
2018-08-11,14.2567,14.2871,12.4003,13.1436,13.2692
2018-08-12,13.1985,13.6342,12.8,13.1844,13.2201
2018-08-13,13.1844,13.45,11.8508,11.9,12.8
2018-08-14,11.9074,11.9687,10.0881,11.77,10.8691
2018-08-15,11.7777,13.75,11.5842,13.2459,12.3514
2018-08-16,13.2,14.95,12.8287,13.8966,13.9997
2018-08-17,13.8966,14.587,12.81,14.4524,13.6226
2018-08-18,14.4524,14.5772,12.5158,13.1793,13.6777
2018-08-19,13.1793,13.7826,12.817,13.3035,13.0675
2018-08-20,13.3035,13.5427,12.1785,12.3703,12.9908
2018-08-21,12.3931,12.87,12.2026,12.732,12.4297
2018-08-22,12.732,13.47,11.8379,12.1713,12.9701
2018-08-23,12.1713,12.6373,12.099,12.4789,12.2956
2018-08-24,12.4824,12.6,12.25,12.5709,12.4456
2018-08-25,12.5709,12.8,12.3499,12.505,12.5208
2018-08-26,12.505,12.671,12.03,12.4457,12.201
2018-08-27,12.4457,12.7401,12.267,12.7227,12.5
2018-08-28,12.7002,13.3997,12.6049,13.1837,12.7162
2018-08-29,13.1967,13.2952,12.7609,12.996,13.0338
2018-08-30,12.996,13.0768,12.4268,12.848,12.6498
2018-08-31,12.844,14.2,12.3184,12.7411,12.9952
2018-09-01,12.7411,13.4059,12.7259,13.1736,13.2027
2018-09-02,13.1736,13.4566,12.9722,13.4031,13.22
2018-09-03,13.4066,14.5652,13.4031,14.0611,14.0003
2018-09-04,14.0611,14.28,13.6973,13.9819,13.95
2018-09-05,13.9895,14.0812,11.7069,11.7599,13.8218
2018-09-06,11.7796,12.0758,11.1133,11.9851,11.4801
2018-09-07,11.9851,12.2512,11.4,11.5867,11.6697
2018-09-08,11.5642,11.8513,10.6667,10.9721,11.6549
2018-09-09,10.9721,11.6474,10.8409,11.21,11.4999
2018-09-10,11.2149,11.4999,10.9223,11.3064,11.2357
