Open time,Open,High,Low,Close,POC
2018-07-27,462.64,474.0,455.84,470.09,465.01
2018-07-28,470.09,472.0,460.82,469.29,467.5
2018-07-29,468.54,472.0,461.6,466.4,466.18
2018-07-30,466.4,469.79,446.1,456.23,460.14
2018-07-31,456.23,457.3,427.0,432.22,431.78
2018-08-01,432.16,434.99,406.55,420.41,418.2
2018-08-02,420.37,425.52,407.43,410.62,411.04
2018-08-03,410.75,420.01,396.61,417.52,417.67
2018-08-04,417.56,419.53,401.86,407.21,417.81
2018-08-05,407.21,413.24,400.16,408.79,404.81
2018-08-06,408.77,413.28,397.08,405.28,401.24
2018-08-07,405.17,412.76,369.19,378.21,405.07
2018-08-08,378.2,380.42,347.25,355.48,366.57
2018-08-09,355.48,369.9,350.51,363.3,360.0
2018-08-10,363.21,365.87,325.95,331.81,359.92
2018-08-11,331.81,332.98,304.45,317.69,323.01
2018-08-12,317.74,327.13,313.42,317.89,321.99
2018-08-13,317.89,321.99,280.68,283.81,319.41
2018-08-14,283.81,283.81,250.0,278.41,265.03
2018-08-15,278.44,304.45,276.3,281.12,286.01
2018-08-16,281.1,298.6,277.55,287.17,283.29
2018-08-17,286.77,318.0,285.0,317.51,298.51
2018-08-18,317.51,321.33,281.79,294.11,288.56
2018-08-19,294.04,307.4,288.2,299.42,295.01
2018-08-20,299.3,304.04,269.5,270.51,300.34
2018-08-21,270.5,285.9,269.7,281.21,275.01
2018-08-22,281.07,298.89,259.5,270.8,284.6
2018-08-23,270.68,280.3,267.55,275.99,273.99
2018-08-24,276.13,283.1,270.22,281.19,275.11
2018-08-25,281.15,282.71,275.99,277.55,278.92
2018-08-26,277.55,277.91,268.69,274.29,272.25
2018-08-27,274.29,288.15,271.59,287.71,276.04
2018-08-28,287.71,298.0,282.66,295.44,285.68
2018-08-29,295.42,297.0,283.55,288.4,291.62
2018-08-30,288.4,291.0,271.88,283.89,279.0
2018-08-31,283.89,289.0,276.59,281.41,281.24
2018-09-01,281.46,302.0,281.34,295.71,287.23
2018-09-02,295.8,299.33,288.87,295.41,290.0
2018-09-03,295.51,296.62,285.99,289.09,288.89
2018-09-04,289.06,292.64,283.0,285.3,286.0
2018-09-05,285.18,287.62,227.0,228.53,283.65
2018-09-06,228.32,233.19,212.0,229.7,225.7
2018-09-07,229.73,234.69,213.5,215.22,218.09
2018-09-08,215.08,220.2,190.01,196.71,199.99
2018-09-09,196.71,208.6,185.02,195.81,201.27
2018-09-10,196.13,203.42,187.1,197.15,195.99
2018-09-11,197.22,200.2,176.16,185.18,182.28
2018-09-12,185.17,185.22,167.32,183.12,171.0
2018-09-13,183.24,215.0,183.15,210.68,204.99
2018-09-14,211.03,224.2,202.6,208.82,220.0
2018-09-15,208.52,227.42,207.99,221.29,214.16
