Open time,Open,High,Low,Close,POC
2018-07-27,83.51,85.12,81.37,84.39,84.24
2018-07-28,84.39,84.7,82.26,84.07,83.85
2018-07-29,84.07,85.38,83.22,83.85,83.64
2018-07-30,83.85,84.62,79.76,82.18,82.94
2018-07-31,82.18,82.63,76.02,78.69,77.91
2018-08-01,78.69,79.06,75.78,77.53,78.0
2018-08-02,77.53,78.46,75.33,76.11,77.59
2018-08-03,76.16,77.84,74.66,77.7,75.46
2018-08-04,77.69,78.15,72.1,73.13,77.27
2018-08-05,73.05,74.73,72.23,74.61,73.22
2018-08-06,74.61,76.7,72.35,73.62,73.37
2018-08-07,73.62,75.24,66.58,67.35,74.72
2018-08-08,67.35,67.49,60.8,62.13,66.01
2018-08-09,62.21,64.94,60.0,62.89,62.92
2018-08-10,62.84,63.14,58.12,59.16,61.5
2018-08-11,59.07,59.98,55.0,57.6,55.77
2018-08-12,57.73,61.55,57.02,59.32,59.28
2018-08-13,59.32,60.61,55.52,56.44,56.04
2018-08-14,56.44,56.5,49.2,54.24,51.39
2018-08-15,54.2,59.2,53.7,54.32,55.62
2018-08-16,54.32,57.58,54.06,55.29,54.87
2018-08-17,55.29,61.89,54.99,61.75,58.66
2018-08-18,61.79,62.31,55.12,57.04,56.86
2018-08-19,57.04,58.98,56.1,57.67,57.93
2018-08-20,57.84,58.5,53.18,53.39,56.5
2018-08-21,53.39,56.82,53.21,56.42,53.86
2018-08-22,56.42,59.75,53.82,55.14,59.0
2018-08-23,55.14,57.89,54.8,57.29,55.51
2018-08-24,57.27,58.36,55.5,57.82,56.85
2018-08-25,57.83,58.38,56.93,57.89,57.82
2018-08-26,57.89,58.08,55.74,56.99,56.8
2018-08-27,56.99,61.17,56.52,60.61,57.41
2018-08-28,60.61,63.74,59.65,63.13,60.32
2018-08-29,63.3,63.4,60.14,61.41,62.4
2018-08-30,61.41,61.65,58.55,60.23,59.35
2018-08-31,60.23,62.75,59.55,62.04,60.69
2018-09-01,62.04,67.93,61.97,66.49,63.5
2018-09-02,66.49,67.3,64.15,66.21,65.0
2018-09-03,66.21,66.55,64.21,65.44,65.0
2018-09-04,65.44,69.45,65.36,67.6,68.45
2018-09-05,67.75,68.36,57.61,57.82,68.0
2018-09-06,57.67,57.89,53.96,57.61,55.57
2018-09-07,57.61,58.53,55.0,55.66,56.36
2018-09-08,55.63,57.22,51.87,53.07,56.3
2018-09-09,53.07,56.72,52.2,54.74,55.17
2018-09-10,54.74,56.59,53.03,54.34,54.33
2018-09-11,54.34,54.75,49.74,52.04,52.57
2018-09-12,52.04,52.14,47.21,51.69,50.64
2018-09-13,51.7,55.49,51.66,54.44,53.95
2018-09-14,54.49,59.0,52.83,56.24,53.3
2018-09-15,56.3,58.73,55.61,56.22,57.9
2018-09-16,56.22,57.55,54.35,56.75,56.39
2018-09-17,56.75,57.85,51.37,52.07,55.82
2018-09-18,52.06,55.52,50.41,53.96,51.73
2018-09-19,53.92,55.28,51.62,54.27,53.96
2018-09-20,54.29,57.42,53.28,56.53,53.85
2018-09-21,56.53,62.73,56.33,60.83,60.9
2018-09-22,60.75,61.9,58.0,60.65,58.87
2018-09-23,60.58,63.82,59.86,61.38,60.71
2018-09-24,61.38,61.56,57.02,58.01,58.43
2018-09-25,58.01,58.16,54.25,57.61,57.9
2018-09-26,57.57,59.85,56.4,57.18,57.53
2018-09-27,57.25,65.67,56.58,63.28,63.0
2018-09-28,63.28,65.0,60.14,61.95,61.24
2018-09-29,61.87,62.34,58.95,61.61,59.93
2018-09-30,61.61,63.0,59.81,61.21,61.1
2018-10-01,61.21,62.09,59.51,60.45,59.81
2018-10-02,60.45,61.8,59.02,59.46,61.22
2018-10-03,59.46,59.66,56.67,57.56,57.55
2018-10-04,57.6,59.4,57.39,58.42,58.7
2018-10-05,58.44,59.85,57.65,58.93,57.89
2018-10-06,58.88,59.17,56.92,57.96,58.78
2018-10-07,58.04,58.64,56.88,58.33,57.69
2018-10-08,58.33,60.26,57.63,59.66,57.89
2018-10-09,59.61,59.84,58.29,59.03,58.77
2018-10-10,59.01,59.18,57.37,58.46,58.21
2018-10-11,58.45,58.66,50.62,51.36,53.5
2018-10-12,51.31,54.26,50.87,53.74,53.56
2018-10-13,53.7,54.88,53.2,54.05,54.03
2018-10-14,54.06,54.44,52.11,52.61,53.93
2018-10-15,52.61,61.86,52.17,56.16,57.4
2018-10-16,56.16,57.34,54.71,55.54,56.42
2018-10-17,55.54,55.72,54.32,55.27,55.0
2018-10-18,55.27,55.85,53.0,53.53,54.0
2018-10-19,53.53,54.74,53.31,53.71,53.67
2018-10-20,53.69,54.65,53.28,54.28,53.89
2018-10-21,54.24,54.9,53.44,53.61,54.24
2018-10-22,53.65,54.16,52.67,53.12,53.52
2018-10-23,53.11,53.97,52.53,53.33,53.5
2018-10-24,53.33,53.92,53.0,53.11,53.28
2018-10-25,53.11,53.27,52.52,52.84,52.86
2018-10-26,52.84,53.55,52.23,52.56,52.8
2018-10-27,52.56,53.08,51.72,52.25,52.83
2018-10-28,52.25,52.66,51.7,52.07,52.15
2018-10-29,52.07,52.26,48.17,49.21,52.12
2018-10-30,49.21,49.96,49.02,49.34,49.3
2018-10-31,49.34,50.71,47.71,49.93,48.04
2018-11-01,49.93,50.85,49.78,50.61,50.05
2018-11-02,50.63,52.2,50.56,51.78,51.86
2018-11-03,51.78,51.81,50.6,51.04,51.4
2018-11-04,51.04,56.33,50.77,54.6,55.95
2018-11-05,54.65,55.15,53.01,53.91,53.62
2018-11-06,53.91,56.88,53.87,56.48,55.25
2018-11-07,56.47,56.92,53.52,54.47,56.21
2018-11-08,54.47,55.12,52.42,52.72,53.5
2018-11-09,52.72,53.15,51.62,52.25,51.98
2018-11-10,52.25,53.08,51.97,52.48,52.66
2018-11-11,52.48,52.57,49.79,51.46,52.06
2018-11-12,51.5,52.04,50.59,51.26,50.9
2018-11-13,51.26,51.66,49.6,50.43,50.5
2018-11-14,50.43,51.08,42.0,45.05,47.43
2018-11-15,45.03,45.8,40.4,44.78,43.21
2018-11-16,44.78,44.95,42.38,42.89,43.67
2018-11-17,42.89,42.94,41.92,42.43,42.21
2018-11-18,42.43,43.84,42.11,42.61,43.24
2018-11-19,42.61,42.65,35.94,37.07,37.47
2018-11-20,37.15,38.8,31.47,33.8,33.5
2018-11-21,33.72,35.38,32.17,35.15,33.7
2018-11-22,35.17,35.68,31.84,32.11,33.47
2018-11-23,32.12,33.81,31.1,32.74,33.0
2018-11-24,32.74,34.3,29.07,29.73,34.0
2018-11-25,29.72,32.93,27.7,31.49,29.2
2018-11-26,31.49,32.88,28.66,30.18,29.62
2018-11-27,30.19,32.16,29.05,31.61,29.82
2018-11-28,31.62,36.51,31.39,34.74,34.6
2018-11-29,34.74,36.0,33.08,33.88,34.42
2018-11-30,33.88,34.53,31.07,32.21,32.03
2018-12-01,32.21,35.1,31.38,34.17,34.7
2018-12-02,34.17,35.24,33.21,33.82,34.62
2018-12-03,33.87,33.97,30.08,30.9,32.18
2018-12-04,30.9,32.25,29.87,31.13,31.6
2018-12-05,31.14,31.4,29.15,29.27,29.21
2018-12-06,29.27,30.49,26.25,26.78,28.0
2018-12-07,26.73,26.94,22.32,24.91,25.9
2018-12-08,24.88,26.63,22.89,24.22,24.36
2018-12-09,24.23,26.75,24.2,25.37,26.2
2018-12-10,25.37,25.82,23.67,24.14,23.98
2018-12-11,24.14,24.63,22.94,23.41,23.46
2018-12-12,23.4,24.98,23.2,24.13,24.15
2018-12-13,24.13,24.29,22.91,23.08,23.0
2018-12-14,23.08,23.76,22.5,23.34,23.03
2018-12-15,23.34,24.06,23.09,23.6,23.99
2018-12-16,23.59,26.96,23.48,25.52,26.0
2018-12-17,25.51,30.3,25.43,28.95,28.28
2018-12-18,28.95,30.15,27.39,29.89,27.81
2018-12-19,29.89,31.55,28.51,28.83,29.72
2018-12-20,28.83,32.76,28.52,32.18,29.0
2018-12-21,32.18,32.87,29.55,30.29,31.71
2018-12-22,30.29,31.49,29.7,31.33,30.97
2018-12-23,31.33,33.84,31.09,32.97,32.37
2018-12-24,32.97,36.12,32.17,32.68,34.5
2018-12-25,32.68,32.93,29.19,30.5,30.5
2018-12-26,30.5,31.68,28.79,30.3,30.13
2018-12-27,30.3,30.89,27.17,27.55,27.35
2018-12-28,27.55,33.08,27.39,31.8,31.49
2018-12-29,31.78,32.81,29.91,30.28,30.79
2018-12-30,30.23,32.0,29.68,31.38,31.21
2018-12-31,31.38,31.43,29.42,29.9,30.16
2019-01-01,29.95,31.8,29.56,31.48,30.65
2019-01-02,31.43,33.29,31.07,32.67,32.23
2019-01-03,32.66,32.8,30.62,31.39,31.66
2019-01-04,31.41,32.53,30.78,31.76,31.49
2019-01-05,31.78,35.95,31.78,34.33,35.07
2019-01-06,34.33,39.71,33.89,38.3,37.98
2019-01-07,38.31,39.04,36.53,37.35,37.81
2019-01-08,37.35,40.8,36.91,38.7,38.8
2019-01-09,38.7,39.72,38.0,38.17,38.26
2019-01-10,38.17,38.77,31.0,32.81,32.19
2019-01-11,32.81,33.22,29.68,31.49,31.93
2019-01-12,31.48,32.13,31.07,31.65,31.62
2019-01-13,31.65,32.63,29.12,29.59,31.66
2019-01-14,29.6,32.5,29.38,31.71,31.79
2019-01-15,31.71,32.27,29.95,30.75,31.47
2019-01-16,30.73,31.93,30.47,31.29,31.05
2019-01-17,31.29,31.55,29.8,31.4,30.88
2019-01-18,31.38,31.53,30.31,30.77,31.12
2019-01-19,30.77,32.92,30.77,32.0,32.35
2019-01-20,32.0,33.2,28.45,30.64,30.23
2019-01-21,30.65,31.22,30.34,30.82,30.68
2019-01-22,30.82,32.0,29.48,31.41,31.5
2019-01-23,31.41,32.18,31.24,31.69,31.85
2019-01-24,31.69,33.1,30.89,32.51,31.1
2019-01-25,32.51,33.0,31.87,32.69,32.69
2019-01-26,32.63,33.95,32.57,32.8,33.36
2019-01-27,32.8,33.2,31.05,32.21,31.35
2019-01-28,32.22,32.53,30.0,30.94,30.68
2019-01-29,30.96,31.26,29.91,30.81,30.44
2019-01-30,30.8,31.97,30.47,31.68,31.05
2019-01-31,31.68,32.33,31.08,31.41,32.17
2019-02-01,31.45,33.64,30.7,32.65,33.3
2019-02-02,32.59,35.01,32.44,34.59,32.94
2019-02-03,34.59,34.89,32.86,33.44,34.5
2019-02-04,33.43,34.5,33.36,34.09,34.01
2019-02-05,34.08,34.54,33.63,34.34,34.42
2019-02-06,34.36,34.5,32.25,32.79,32.74
2019-02-07,32.78,33.61,32.73,33.24,33.16
2019-02-08,33.24,44.85,32.75,42.99,36.97
2019-02-09,43.01,46.95,42.05,44.68,45.69
2019-02-10,44.68,47.59,42.0,46.79,46.5
2019-02-11,46.8,46.87,41.81,42.9,44.1
2019-02-12,42.9,44.57,41.84,43.89,43.14
2019-02-13,43.89,44.66,40.64,41.61,42.92
2019-02-14,41.61,42.45,40.31,41.26,41.67
2019-02-15,41.26,44.6,41.06,42.58,42.23
2019-02-16,42.58,44.37,42.28,43.34,43.4
2019-02-17,43.34,45.13,42.6,43.91,43.11
2019-02-18,43.91,49.03,43.62,47.84,44.39
2019-02-19,47.84,49.1,46.56,47.14,47.5
2019-02-20,47.14,52.21,46.25,51.5,50.6
2019-02-21,51.45,51.65,47.35,48.94,47.96
2019-02-22,48.94,49.97,48.08,49.19,49.01
2019-02-23,49.19,51.88,48.0,51.4,51.32
2019-02-24,51.4,53.53,42.37,43.75,44.44
2019-02-25,43.74,46.85,43.0,45.4,43.72
2019-02-26,45.4,45.89,44.06,44.76,44.86
2019-02-27,44.75,45.53,42.51,45.16,44.75
2019-02-28,45.15,46.7,44.44,45.61,45.75
2019-03-01,45.62,48.95,45.53,47.05,48.19
2019-03-02,47.03,49.4,46.38,48.49,48.28
2019-03-03,48.49,49.1,47.18,47.86,48.0
2019-03-04,47.87,48.22,44.57,45.78,46.02
2019-03-05,45.78,54.25,45.38,52.52,51.65
2019-03-06,52.52,56.81,51.11,55.37,55.14
2019-03-07,55.37,59.12,53.77,56.73,56.99
2019-03-08,56.77,57.6,54.3,55.61,56.15
2019-03-09,55.61,59.83,55.38,57.78,58.5
2019-03-10,57.78,58.04,55.84,56.59,56.8
2019-03-11,56.63,57.37,54.0,54.82,54.5
2019-03-12,54.82,56.96,53.72,56.58,56.45
2019-03-13,56.58,56.84,54.3,55.29,54.99
2019-03-14,55.29,58.2,51.66,55.94,55.8
2019-03-15,55.95,59.15,55.94,58.52,58.0
2019-03-16,58.52,61.97,58.41,61.21,61.2
2019-03-17,61.21,61.32,59.57,60.47,60.67
2019-03-18,60.47,62.63,58.2,59.17,59.34
2019-03-19,59.2,59.96,58.33,59.52,59.2
2019-03-20,59.52,60.74,56.64,60.27,59.69
2019-03-21,60.34,60.64,56.98,58.54,58.44
2019-03-22,58.54,59.6,58.0,59.26,59.33
2019-03-23,59.26,61.76,58.93,60.89,60.53
2019-03-24,60.89,60.9,58.84,59.82,59.76
2019-03-25,59.81,60.7,58.2,59.04,59.23
2019-03-26,59.04,59.35,57.23,58.79,57.72
2019-03-27,58.83,61.87,58.58,61.44,60.98
2019-03-28,61.43,61.43,60.15,60.5,60.57
2019-03-29,60.5,61.8,60.15,61.45,61.0
2019-03-30,61.41,61.56,59.59,60.45,60.76
2019-03-31,60.45,60.72,59.83,60.48,60.56
2019-04-01,60.45,60.9,59.62,60.45,60.17
2019-04-02,60.45,78.4,59.95,76.78,67.01
2019-04-03,76.78,98.5,76.24,85.19,82.82
2019-04-04,85.19,89.85,79.85,84.7,81.0
2019-04-05,84.76,89.85,83.65,88.24,87.53
2019-04-06,88.24,97.54,85.0,92.21,94.59
2019-04-07,92.21,95.44,88.74,91.55,93.05
2019-04-08,91.5,94.0,85.2,88.57,88.0
2019-04-09,88.57,88.71,82.61,86.17,85.11
2019-04-10,86.11,91.1,85.91,88.16,88.0
2019-04-11,88.09,88.45,74.64,78.88,78.11
2019-04-12,78.9,80.43,75.0,78.47,79.35
2019-04-13,78.47,81.02,75.51,77.62,78.05
2019-04-14,77.58,83.6,76.09,83.28,78.23
2019-04-15,83.32,84.41,75.0,78.07,82.4
2019-04-16,78.06,81.49,76.88,80.27,78.38
2019-04-17,80.24,81.5,78.0,78.77,79.19
2019-04-18,78.77,83.66,78.74,81.68,80.58
2019-04-19,81.68,83.17,79.48,82.05,81.69
2019-04-20,82.05,82.69,79.33,81.15,81.86
2019-04-21,81.16,81.85,72.86,76.65,75.29
2019-04-22,76.61,77.63,74.9,76.51,76.69
2019-04-23,76.51,79.29,73.33,73.7,78.0
2019-04-24,73.67,74.69,69.9,72.85,71.03
2019-04-25,72.84,74.43,70.6,71.78,73.49
2019-04-26,71.78,76.5,70.31,73.82,74.0
2019-04-27,73.82,74.01,71.83,72.23,73.44
2019-04-28,72.23,72.72,68.95,69.89,70.0
2019-04-29,69.89,70.37,66.5,67.87,67.75
2019-04-30,67.86,74.74,67.86,74.32,72.34
2019-05-01,74.3,75.36,71.78,73.36,74.44
2019-05-02,73.36,74.42,72.73,73.68,73.42
2019-05-03,73.68,80.58,73.31,79.22,78.98
2019-05-04,79.22,82.76,74.54,77.77,77.98
2019-05-05,77.79,78.16,75.4,75.7,76.61
2019-05-06,75.7,76.91,71.64,74.94,73.1
2019-05-07,74.98,78.75,73.4,74.61,77.0
2019-05-08,74.62,75.5,72.4,74.44,73.78
2019-05-09,74.44,75.9,72.77,74.19,74.0
2019-05-10,74.15,79.61,72.66,77.11,77.4
2019-05-11,77.13,95.0,76.85,86.59,79.0
2019-05-12,86.26,94.01,83.0,84.73,85.91
2019-05-13,84.71,92.49,84.1,87.16,89.97
2019-05-14,87.34,93.61,86.5,91.17,90.8
2019-05-15,91.15,104.25,89.69,102.02,99.13
2019-05-16,102.02,107.14,90.73,95.49,93.51
2019-05-17,95.46,97.48,84.27,89.76,87.0
2019-05-18,89.75,90.51,85.11,86.51,86.5
2019-05-19,86.55,96.81,86.07,94.58,94.99
2019-05-20,94.5,94.55,87.11,91.1,90.44
2019-05-21,91.02,93.02,88.83,90.79,91.87
2019-05-22,90.66,92.04,85.83,87.74,90.0
2019-05-23,87.74,89.53,84.62,88.61,87.57
2019-05-24,88.67,103.77,88.01,100.5,101.0
2019-05-25,100.42,105.07,98.87,102.66,101.24
2019-05-26,102.66,114.0,97.5,111.0,99.99
2019-05-27,111.0,121.89,109.94,116.3,114.0
2019-05-28,116.41,118.22,111.08,114.81,116.38
2019-05-29,114.86,118.33,108.0,115.06,113.13
2019-05-30,115.0,120.35,102.4,107.78,117.05
2019-05-31,107.86,114.93,104.55,114.6,107.24
2019-06-01,114.6,116.28,110.51,112.35,112.61
2019-06-02,112.34,116.48,111.25,114.39,115.8
2019-06-03,114.39,116.2,105.01,105.99,112.06
2019-06-04,105.93,106.8,98.13,102.2,99.75
2019-06-05,102.25,105.21,100.11,103.66,102.25
2019-06-06,103.66,112.07,101.0,111.19,104.0
2019-06-07,111.3,121.0,109.53,116.71,119.16
2019-06-08,116.75,119.7,113.5,118.01,115.17
2019-06-09,118.0,118.94,111.02,114.66,116.28
2019-06-10,114.66,130.12,112.54,129.15,125.51
2019-06-11,129.07,138.56,124.85,135.69,128.0
2019-06-12,135.81,143.19,129.86,135.32,139.99
2019-06-13,135.32,136.52,127.92,130.55,135.0
2019-06-14,130.55,133.03,125.22,132.0,128.09
2019-06-15,132.03,139.5,132.01,137.54,134.23
2019-06-16,137.54,138.2,133.15,136.45,136.65
2019-06-17,136.42,136.82,131.53,133.8,132.67
2019-06-18,133.8,136.84,128.0,135.22,132.49
2019-06-19,135.22,139.5,133.5,136.43,138.49
2019-06-20,136.43,136.75,133.0,135.46,134.97
2019-06-21,135.45,141.29,131.0,138.28,134.44
2019-06-22,138.26,145.9,136.01,142.26,141.0
2019-06-23,142.26,143.34,136.15,137.5,137.69
2019-06-24,137.44,137.52,132.65,135.77,135.43
2019-06-25,135.78,138.63,129.75,136.33,136.99
2019-06-26,136.32,138.5,127.5,132.25,136.2
2019-06-27,132.21,133.5,111.82,116.01,118.01
2019-06-28,116.01,122.19,114.49,120.01,119.5
2019-06-29,119.99,137.0,116.0,133.86,134.98
2019-06-30,133.86,137.44,120.54,123.25,131.31
2019-07-01,123.25,127.03,113.82,123.17,122.24
2019-07-02,123.17,124.0,112.63,118.77,117.81
2019-07-03,118.76,123.15,116.78,121.36,119.0
2019-07-04,121.32,127.03,118.51,119.61,122.64
2019-07-05,119.64,120.99,116.22,118.35,118.3
2019-07-06,118.27,121.8,117.06,118.31,118.47
2019-07-07,118.31,120.35,117.0,119.48,118.3
2019-07-08,119.49,125.07,117.77,122.92,120.5
2019-07-09,122.92,124.08,117.64,119.24,123.0
2019-07-10,119.23,120.13,102.5,108.31,119.35
2019-07-11,108.29,108.33,95.21,102.98,101.82
2019-07-12,102.98,107.02,100.65,104.86,104.8
2019-07-13,104.88,105.03,97.64,101.03,101.01
2019-07-14,101.03,101.9,87.58,89.66,92.81
2019-07-15,89.69,92.99,84.6,90.43,88.11
2019-07-16,90.43,91.91,76.6,79.61,80.01
2019-07-17,79.62,94.65,71.0,89.95,77.1
2019-07-18,89.96,104.5,86.87,101.16,92.58
2019-07-19,101.16,101.26,94.73,98.23,95.72
2019-07-20,98.25,105.88,97.42,100.25,103.23
2019-07-21,100.25,101.41,96.4,99.7,98.39
2019-07-22,99.7,100.91,91.14,95.31,93.0
2019-07-23,95.31,95.35,88.62,90.15,90.5
2019-07-24,90.15,97.45,86.8,94.5,92.69
2019-07-25,94.41,96.67,91.06,93.22,92.02
2019-07-26,93.19,94.52,89.83,94.06,90.21
2019-07-27,94.02,96.09,86.67,88.79,88.84
2019-07-28,88.83,90.9,83.13,90.0,84.0
2019-07-29,90.13,92.26,87.48,90.33,90.6
2019-07-30,90.33,92.71,88.5,90.15,92.09
2019-07-31,90.15,99.95,89.81,98.76,96.59
2019-08-01,98.79,100.59,95.23,98.64,99.34
2019-08-02,98.58,98.77,92.52,94.76,97.05
2019-08-03,94.8,96.7,93.51,94.17,95.19
2019-08-04,94.17,94.8,90.11,92.64,91.49
2019-08-05,92.64,106.77,92.64,96.56,94.84
2019-08-06,96.56,99.32,91.0,92.99,94.31
2019-08-07,92.99,94.45,87.36,90.59,94.1
2019-08-08,90.59,92.75,87.72,90.15,90.07
2019-08-09,90.18,90.45,82.64,84.24,86.49
2019-08-10,84.24,87.5,82.27,85.46,83.84
2019-08-11,85.46,91.57,85.15,89.93,90.5
2019-08-12,90.04,90.04,85.45,85.79,87.3
2019-08-13,85.79,86.79,83.26,84.88,85.79
2019-08-14,84.82,86.32,75.0,75.9,76.85
2019-08-15,75.9,77.7,74.36,76.25,76.5
2019-08-16,76.24,76.42,72.34,74.67,74.04
2019-08-17,74.67,75.35,71.5,72.65,74.05
2019-08-18,72.65,78.0,71.4,76.25,77.22
2019-08-19,76.25,78.95,75.36,77.1,77.84
2019-08-20,77.1,77.3,73.31,75.14,75.75
2019-08-21,75.1,75.33,70.14,73.27,72.0
2019-08-22,73.27,74.64,71.0,73.31,73.63
2019-08-23,73.38,75.92,72.1,75.38,73.0
2019-08-24,75.42,75.65,71.39,73.32,74.09
2019-08-25,73.32,74.93,70.56,72.1,71.18
2019-08-26,72.21,75.46,72.09,73.54,74.03
2019-08-27,73.59,73.75,72.13,72.9,73.0
2019-08-28,72.9,73.14,65.0,66.73,66.75
2019-08-29,66.74,66.77,62.0,63.59,65.0
2019-08-30,63.59,65.6,62.16,64.17,64.95
2019-08-31,64.17,65.39,62.25,64.24,63.9
2019-09-01,64.24,67.21,63.74,65.89,64.6
2019-09-02,65.89,68.03,64.8,66.92,65.96
2019-09-03,66.96,71.0,66.47,69.06,68.97
2019-09-04,69.0,69.24,66.4,67.01,66.99
2019-09-05,67.01,67.39,64.14,65.23,65.2
2019-09-06,65.23,68.0,63.54,64.87,65.45
2019-09-07,64.86,70.57,64.53,68.77,69.04
2019-09-08,68.77,71.46,68.0,70.36,69.1
2019-09-09,70.36,71.38,67.73,69.89,69.2
2019-09-10,69.86,73.1,69.77,70.85,70.89
2019-09-11,70.85,71.81,68.25,69.8,69.67
2019-09-12,69.8,70.0,68.3,69.15,69.05
2019-09-13,69.15,69.58,67.36,68.93,69.0
2019-09-14,68.93,71.5,68.2,70.5,70.89
2019-09-15,70.49,71.28,69.5,70.04,70.3
2019-09-16,70.04,73.67,69.36,72.63,71.55
2019-09-17,72.63,77.59,72.15,74.04,72.51
2019-09-18,74.04,80.3,73.98,77.81,79.18
2019-09-19,77.76,80.9,72.62,76.56,77.76
2019-09-20,76.56,77.08,72.78,75.05,75.47
2019-09-21,75.05,75.58,72.06,73.22,72.62
2019-09-22,73.22,73.22,71.03,72.23,71.74
2019-09-23,72.23,74.24,61.88,66.54,72.09
2019-09-24,66.54,67.42,54.07,54.57,57.24
2019-09-25,54.58,58.34,52.84,57.43,54.96
2019-09-26,57.48,57.56,50.3,55.19,53.48
2019-09-27,55.19,56.61,52.61,55.86,54.85
2019-09-28,55.86,56.16,53.67,55.37,55.4
2019-09-29,55.37,55.58,52.13,53.82,52.91
2019-09-30,53.82,56.25,52.46,55.99,55.5
2019-10-01,56.0,57.6,54.82,55.63,56.57
2019-10-02,55.63,56.66,55.13,56.23,55.51
2019-10-03,56.23,57.07,53.62,56.44,56.13
2019-10-04,56.44,57.5,55.22,56.3,56.88
2019-10-05,56.3,57.4,55.57,56.69,56.02
2019-10-06,56.69,56.8,52.73,54.41,54.63
2019-10-07,54.41,58.65,53.25,57.46,56.53
2019-10-08,57.47,58.45,56.47,56.94,57.28
2019-10-09,56.92,60.06,56.6,59.12,56.84
2019-10-10,59.12,59.33,57.0,57.47,57.59
2019-10-11,57.48,58.42,55.33,55.85,55.99
2019-10-12,55.85,56.5,55.41,55.7,55.96
2019-10-13,55.7,57.69,55.47,56.46,56.11
2019-10-14,56.46,57.1,55.94,56.83,56.83
2019-10-15,56.83,57.39,53.4,54.58,55.5
2019-10-16,54.58,55.39,51.0,52.45,52.33
2019-10-17,52.45,55.22,51.57,54.94,53.47
2019-10-18,54.94,55.01,52.19,53.21,53.4
2019-10-19,53.21,54.16,52.54,53.72,53.25
