Open time,Open,High,Low,Close,POC
2018-07-27,0.03593,0.03717,0.0351,0.03654,0.03679
2018-07-28,0.03654,0.03697,0.03573,0.0369,0.0364
2018-07-29,0.03693,0.041,0.0368,0.03905,0.03691
2018-07-30,0.03901,0.03961,0.03516,0.03635,0.03654
2018-07-31,0.03635,0.03643,0.03319,0.03373,0.03383
2018-08-01,0.03373,0.03395,0.03141,0.03252,0.03253
2018-08-02,0.03251,0.03317,0.03059,0.03128,0.0327
2018-08-03,0.03128,0.03155,0.02917,0.03039,0.03048
2018-08-04,0.0304,0.03126,0.02827,0.02879,0.03057
2018-08-05,0.02879,0.03059,0.0281,0.03025,0.02898
2018-08-06,0.03025,0.03109,0.02868,0.02912,0.02918
2018-08-07,0.02912,0.02995,0.02739,0.02766,0.02955
2018-08-08,0.02767,0.02768,0.02325,0.02428,0.02509
2018-08-09,0.02428,0.02645,0.02348,0.02551,0.02459
2018-08-10,0.02551,0.02597,0.0231,0.02362,0.0251
2018-08-11,0.02362,0.02385,0.02167,0.02213,0.02315
2018-08-12,0.02213,0.02349,0.022,0.02248,0.02269
2018-08-13,0.02248,0.02278,0.01885,0.01909,0.02253
2018-08-14,0.01909,0.02201,0.016,0.01858,0.01779
2018-08-15,0.01867,0.02074,0.01857,0.01918,0.01949
2018-08-16,0.01919,0.01997,0.01884,0.01931,0.0196
2018-08-17,0.01931,0.02346,0.01915,0.02333,0.01971
2018-08-18,0.02335,0.02463,0.02005,0.02131,0.0214
2018-08-19,0.02131,0.02284,0.02072,0.02205,0.0215
2018-08-20,0.02205,0.02263,0.02009,0.02035,0.02168
2018-08-21,0.02035,0.02116,0.01984,0.02091,0.02084
2018-08-22,0.02091,0.02234,0.01897,0.0195,0.02099
2018-08-23,0.0195,0.0208,0.01938,0.02067,0.01997
2018-08-24,0.02067,0.02163,0.02024,0.02152,0.02068
2018-08-25,0.02152,0.0228,0.02099,0.02238,0.02131
2018-08-26,0.02238,0.02312,0.02112,0.02273,0.02253
2018-08-27,0.02273,0.02473,0.0223,0.02461,0.02315
2018-08-28,0.02461,0.0279,0.02419,0.02684,0.02528
2018-08-29,0.02684,0.02729,0.02456,0.02538,0.02575
2018-08-30,0.02538,0.02596,0.02319,0.02495,0.0241
2018-08-31,0.02495,0.0257,0.02423,0.0253,0.02467
2018-09-01,0.0253,0.0273,0.0253,0.02666,0.02588
2018-09-02,0.02666,0.02669,0.02469,0.02568,0.02558
2018-09-03,0.02568,0.02589,0.02447,0.02507,0.02537
2018-09-04,0.02507,0.02592,0.02497,0.02524,0.02556
2018-09-05,0.02524,0.02551,0.0212,0.02153,0.02528
