Open time,Open,High,Low,Close,POC
2018-07-27,0.02504,0.02607,0.02282,0.02508,0.02387
2018-07-28,0.02502,0.026,0.0248,0.02571,0.02529
2018-07-29,0.02571,0.0269,0.0256,0.02646,0.02653
2018-07-30,0.02646,0.02655,0.02325,0.02527,0.02602
2018-07-31,0.02528,0.02529,0.0207,0.0225,0.02218
2018-08-01,0.0224,0.02255,0.01922,0.02006,0.02024
2018-08-02,0.02005,0.02048,0.01677,0.01741,0.0175
2018-08-03,0.0174,0.01745,0.013,0.01524,0.01511
2018-08-04,0.01524,0.016,0.01227,0.01336,0.01371
2018-08-05,0.01336,0.0143,0.01261,0.01401,0.01333
2018-08-06,0.01401,0.0144,0.0128,0.01341,0.01336
2018-08-07,0.01342,0.01412,0.0125,0.01294,0.01379
2018-08-08,0.01294,0.01295,0.0102,0.01083,0.0118
2018-08-09,0.01081,0.0118,0.01052,0.01156,0.01126
2018-08-10,0.01156,0.01168,0.00931,0.00958,0.0095
2018-08-11,0.00958,0.0098,0.00861,0.00909,0.00943
2018-08-12,0.00911,0.00985,0.00888,0.00907,0.00913
2018-08-13,0.00907,0.00918,0.00687,0.00716,0.00782
2018-08-14,0.00716,0.00776,0.00602,0.00773,0.0067
2018-08-15,0.00776,0.0088,0.00753,0.0079,0.00796
2018-08-16,0.00789,0.01175,0.00771,0.01125,0.011
2018-08-17,0.01125,0.0166,0.0108,0.01492,0.0144
2018-08-18,0.01491,0.015,0.011,0.01277,0.01248
2018-08-19,0.01277,0.01448,0.01212,0.01431,0.01415
2018-08-20,0.01432,0.01488,0.01284,0.01296,0.01389
2018-08-21,0.01296,0.0159,0.0128,0.01542,0.0155
2018-08-22,0.01543,0.01641,0.01236,0.01376,0.0151
2018-08-23,0.01376,0.0149,0.01351,0.01472,0.0141
2018-08-24,0.01472,0.01479,0.0138,0.01453,0.01435
2018-08-25,0.01453,0.0158,0.01407,0.0154,0.01509
2018-08-26,0.0154,0.0155,0.01432,0.0153,0.0151
2018-08-27,0.01527,0.01815,0.015,0.018,0.0167
2018-08-28,0.018,0.01885,0.01741,0.01794,0.01791
2018-08-29,0.01794,0.01815,0.01621,0.0169,0.01735
2018-08-30,0.01699,0.01745,0.01557,0.01731,0.01621
2018-08-31,0.01731,0.01767,0.01632,0.01704,0.01717
2018-09-01,0.01704,0.01868,0.01693,0.0182,0.01801
2018-09-02,0.0182,0.01849,0.01727,0.01786,0.01776
2018-09-03,0.01786,0.01927,0.0174,0.01879,0.01884
2018-09-04,0.01879,0.01992,0.01851,0.01945,0.0196
2018-09-05,0.01945,0.01978,0.01575,0.01609,0.0164
2018-09-06,0.0161,0.01641,0.01474,0.01615,0.0156
2018-09-07,0.01615,0.0168,0.01489,0.0155,0.01555
2018-09-08,0.0155,0.01613,0.0141,0.01454,0.01475
2018-09-09,0.01454,0.0155,0.014,0.01443,0.015
2018-09-10,0.01445,0.01536,0.01367,0.01415,0.0139
2018-09-11,0.01416,0.0144,0.01268,0.01312,0.01306
2018-09-12,0.01312,0.0142,0.01161,0.0138,0.01201
2018-09-13,0.0138,0.01446,0.01321,0.01403,0.01416
2018-09-14,0.01403,0.01436,0.01341,0.0139,0.01411
2018-09-15,0.0139,0.0147,0.01352,0.01427,0.01371
2018-09-16,0.01427,0.01434,0.01373,0.01412,0.01412
2018-09-17,0.01412,0.01432,0.01234,0.01266,0.013
2018-09-18,0.01266,0.01333,0.01236,0.01292,0.013
2018-09-19,0.01292,0.0133,0.0122,0.013,0.01295
2018-09-20,0.013,0.01386,0.01275,0.01359,0.0132
2018-09-21,0.01359,0.01469,0.01341,0.01445,0.0142
2018-09-22,0.01445,0.01467,0.01332,0.01373,0.0137
2018-09-23,0.01373,0.01418,0.01358,0.01397,0.01377
2018-09-24,0.01397,0.01401,0.01288,0.01311,0.01331
2018-09-25,0.01311,0.01311,0.0121,0.01283,0.01242
2018-09-26,0.01283,0.01293,0.01234,0.01249,0.01261
2018-09-27,0.01249,0.0133,0.01238,0.01311,0.01261
2018-09-28,0.01311,0.0137,0.01292,0.01308,0.01315
2018-09-29,0.01308,0.0131,0.01262,0.01293,0.01292
2018-09-30,0.01293,0.01306,0.01265,0.01291,0.01289
2018-10-01,0.01291,0.01299,0.01261,0.01282,0.01292
2018-10-02,0.01284,0.01345,0.01279,0.01296,0.01291
2018-10-03,0.01296,0.01298,0.01259,0.01279,0.01272
2018-10-04,0.01279,0.01303,0.01272,0.01285,0.0129
2018-10-05,0.01285,0.0133,0.0128,0.01316,0.01311
2018-10-06,0.01316,0.01333,0.01294,0.01307,0.01325
2018-10-07,0.01307,0.01321,0.01288,0.0131,0.01303
2018-10-08,0.0131,0.01391,0.01301,0.01375,0.01332
2018-10-09,0.01375,0.01382,0.0134,0.01366,0.01353
2018-10-10,0.01366,0.01368,0.01308,0.01335,0.01339
2018-10-11,0.01335,0.01336,0.01113,0.01127,0.01176
2018-10-12,0.01127,0.01201,0.01101,0.01163,0.01168
2018-10-13,0.0116,0.01178,0.01152,0.01161,0.01168
2018-10-14,0.01161,0.0119,0.01127,0.01144,0.01157
2018-10-15,0.01144,0.01303,0.01127,0.01204,0.01219
2018-10-16,0.01204,0.01233,0.0117,0.01219,0.01214
2018-10-17,0.01219,0.0122,0.01194,0.01209,0.01211
2018-10-18,0.01209,0.01222,0.01141,0.01158,0.01181
2018-10-19,0.01158,0.01173,0.01139,0.01161,0.01153
2018-10-20,0.01161,0.01191,0.01154,0.01169,0.01173
2018-10-21,0.0117,0.01186,0.01143,0.0115,0.01178
2018-10-22,0.0115,0.01159,0.01108,0.01124,0.01147
2018-10-23,0.01124,0.01219,0.01083,0.01192,0.01119
2018-10-24,0.01192,0.01211,0.01148,0.01155,0.01175
2018-10-25,0.01155,0.01161,0.01119,0.0114,0.01146
2018-10-26,0.01144,0.01145,0.01106,0.0112,0.0112
2018-10-27,0.0112,0.01122,0.01088,0.01094,0.0112
2018-10-28,0.01094,0.01135,0.01091,0.011,0.011
2018-10-29,0.011,0.01133,0.01037,0.01054,0.011
2018-10-30,0.01054,0.01071,0.0101,0.01021,0.01042
2018-10-31,0.01021,0.01068,0.00994,0.01048,0.01019
2018-11-01,0.01048,0.01058,0.01017,0.01049,0.01048
2018-11-02,0.01049,0.01068,0.01043,0.0105,0.01053
2018-11-03,0.0105,0.01053,0.01025,0.01036,0.01033
2018-11-04,0.01036,0.0113,0.01025,0.01091,0.01099
2018-11-05,0.01092,0.01096,0.01054,0.01075,0.01072
2018-11-06,0.01075,0.01139,0.01066,0.0113,0.01073
2018-11-07,0.0113,0.0114,0.01037,0.01088,0.01063
2018-11-08,0.01088,0.01091,0.01048,0.01055,0.01069
2018-11-09,0.01055,0.01058,0.01012,0.01026,0.01036
2018-11-10,0.01026,0.01049,0.01019,0.01031,0.01036
2018-11-11,0.01031,0.01037,0.01011,0.01019,0.01021
2018-11-12,0.01019,0.01029,0.00994,0.01,0.01013
2018-11-13,0.01,0.01001,0.00928,0.00928,0.00973
2018-11-14,0.00929,0.00947,0.00762,0.00867,0.0085
2018-11-15,0.00867,0.009,0.00715,0.00813,0.0078
2018-11-16,0.00813,0.00824,0.00763,0.00778,0.00777
2018-11-17,0.00778,0.00783,0.0075,0.0078,0.00762
2018-11-18,0.0078,0.00795,0.00765,0.00773,0.0077
2018-11-19,0.00773,0.00773,0.00591,0.00614,0.0062
2018-11-20,0.00614,0.00644,0.00502,0.00543,0.0062
2018-11-21,0.00543,0.0061,0.00529,0.00587,0.0058
2018-11-22,0.00587,0.00599,0.00518,0.00524,0.00561
2018-11-23,0.00524,0.00538,0.005,0.00524,0.00514
2018-11-24,0.00524,0.00544,0.00444,0.00461,0.00516
2018-11-25,0.00461,0.00497,0.00408,0.00477,0.00438
2018-11-26,0.00477,0.00492,0.00426,0.00443,0.0047
2018-11-27,0.00443,0.00463,0.0041,0.00447,0.00428
2018-11-28,0.00447,0.0055,0.00447,0.00526,0.0048
2018-11-29,0.00526,0.00575,0.00495,0.00534,0.0054
2018-11-30,0.00534,0.00541,0.00456,0.00481,0.0047
2018-12-01,0.0048,0.00525,0.00466,0.00507,0.00506
2018-12-02,0.00507,0.00518,0.00479,0.00496,0.00494
2018-12-03,0.00495,0.00498,0.00443,0.00453,0.00454
2018-12-04,0.00453,0.00492,0.00438,0.00462,0.00469
2018-12-05,0.00462,0.00467,0.00437,0.00446,0.00445
2018-12-06,0.00446,0.00488,0.0041,0.00411,0.00435
2018-12-07,0.00411,0.00418,0.00363,0.00391,0.00405
2018-12-08,0.00391,0.00413,0.00364,0.00383,0.0039
2018-12-09,0.00383,0.00417,0.00377,0.004,0.004
2018-12-10,0.004,0.00407,0.00368,0.00377,0.0038
2018-12-11,0.00377,0.00382,0.0036,0.00369,0.00365
2018-12-12,0.00369,0.00378,0.00357,0.00369,0.00367
2018-12-13,0.00369,0.00372,0.00345,0.00351,0.00367
2018-12-14,0.00351,0.00355,0.00328,0.00337,0.00347
2018-12-15,0.00337,0.00341,0.00325,0.00334,0.00339
2018-12-16,0.00334,0.00349,0.00332,0.00339,0.0034
2018-12-17,0.00339,0.00407,0.00339,0.004,0.00395
2018-12-18,0.004,0.00413,0.00372,0.00409,0.00392
2018-12-19,0.00409,0.0045,0.00404,0.00411,0.00421
2018-12-20,0.00411,0.004529,0.00404,0.004478,0.00407
2018-12-21,0.004478,0.004879,0.004213,0.004383,0.00453
2018-12-22,0.00441,0.00467,0.00426,0.004569,0.0046
2018-12-23,0.004569,0.004847,0.004514,0.004641,0.00467
2018-12-24,0.004641,0.00525,0.004615,0.004718,0.00513
2018-12-25,0.004701,0.004748,0.0041,0.004309,0.0044
2018-12-26,0.004309,0.00452,0.004151,0.00432,0.0044
2018-12-27,0.00432,0.004356,0.003802,0.003839,0.00385
2018-12-28,0.003839,0.0044,0.00376,0.004297,0.0043
2018-12-29,0.004297,0.00435,0.003974,0.00402,0.00416
2018-12-30,0.00402,0.0042,0.003953,0.00415,0.00406
2018-12-31,0.00415,0.004163,0.003849,0.003927,0.00416
2019-01-01,0.003927,0.004095,0.00386,0.004082,0.00393
2019-01-02,0.004082,0.00417,0.003978,0.004132,0.00408
2019-01-03,0.004132,0.004162,0.003899,0.00397,0.00391
2019-01-04,0.00397,0.00406,0.003908,0.004023,0.00404
2019-01-05,0.004023,0.004137,0.00398,0.003998,0.00401
