Open time,Open,High,Low,Close,POC
2018-07-27,0.44968,0.462,0.444,0.4555,0.45799
2018-07-28,0.4555,0.45887,0.44803,0.45641,0.45301
2018-07-29,0.45686,0.45849,0.45,0.45315,0.45282
2018-07-30,0.45369,0.45621,0.43382,0.44534,0.44586
2018-07-31,0.44534,0.44641,0.4268,0.4353,0.43129
2018-08-01,0.4353,0.46382,0.42671,0.44642,0.44958
2018-08-02,0.44673,0.44888,0.42849,0.42975,0.42999
2018-08-03,0.43021,0.44619,0.4253,0.44033,0.43864
2018-08-04,0.44033,0.445,0.42741,0.42985,0.43
2018-08-05,0.42985,0.43705,0.42705,0.4345,0.43179
2018-08-06,0.43446,0.43699,0.40127,0.4129,0.41117
2018-08-07,0.4129,0.41567,0.37387,0.37863,0.37797
2018-08-08,0.37863,0.37863,0.31928,0.33171,0.35021
2018-08-09,0.33171,0.35799,0.328,0.3441,0.34579
2018-08-10,0.34418,0.34689,0.31236,0.31897,0.33366
2018-08-11,0.31913,0.32008,0.2874,0.29784,0.29703
2018-08-12,0.29784,0.30938,0.29401,0.29547,0.29981
2018-08-13,0.29547,0.309,0.27127,0.2743,0.29968
2018-08-14,0.2743,0.27732,0.24672,0.2725,0.25999
2018-08-15,0.2725,0.30234,0.2725,0.28039,0.28781
2018-08-16,0.28039,0.30184,0.2755,0.29142,0.29728
2018-08-17,0.29142,0.37506,0.29085,0.3672,0.31503
2018-08-18,0.36721,0.37,0.31039,0.32829,0.333
2018-08-19,0.32829,0.35281,0.316,0.34201,0.34918
2018-08-20,0.34279,0.35095,0.3128,0.31499,0.33001
2018-08-21,0.31559,0.33799,0.31302,0.33339,0.33501
2018-08-22,0.33398,0.35499,0.31039,0.3185,0.34045
2018-08-23,0.31849,0.32958,0.31306,0.3263,0.31998
2018-08-24,0.3263,0.329,0.31577,0.32646,0.324
2018-08-25,0.32646,0.332,0.3216,0.32702,0.32469
2018-08-26,0.32759,0.32912,0.318,0.32276,0.32296
2018-08-27,0.32277,0.34062,0.32145,0.33901,0.32959
2018-08-28,0.33901,0.35809,0.33423,0.35128,0.34348
2018-08-29,0.35128,0.3556,0.33361,0.34494,0.3381
2018-08-30,0.34494,0.3466,0.32252,0.33518,0.32603
2018-08-31,0.33518,0.349,0.32728,0.3353,0.33536
2018-09-01,0.3353,0.35517,0.33476,0.34699,0.35
2018-09-02,0.34699,0.34918,0.33,0.34253,0.33522
2018-09-03,0.34253,0.34387,0.333,0.33493,0.334
2018-09-04,0.33491,0.34157,0.32819,0.33116,0.3367
